family,treatment,candidate,strategy,qualified,ndcg_at_10,improved_incumbent,consecutive_failures,variant,skill_digest,job_id,job_result_sha256,native_lock_sha256
legacy,consultation,baseline,baseline,True,0.5749695375722894,False,0,{},sha256:0fb227d81f64ba9e930a0b720bc9b4133681ff236b45d622d390f8bb2c948746,0af2176a-fdb7-406c-bdbc-9aa44e0d0aa4,13611cdf726aecd8c485cd4f9ddf477280890bc45c67805542e0bbcee7325177,d49a9ccdfb97dd56644faa24028d199c00dfeaa8ef2c6b1718d5c6d40449a521
legacy,consultation,candidate-001,bm25-saturation,True,0.5868341631156483,True,0,"{""engine"": ""bm25"", ""k1"": 1.2}",sha256:1300146d83059eaf1056be7342384f98be8fd59ca4d474f089e1840e777a75b6,0401b33b-a77f-4347-ace2-c509a760c1d4,6c40aea260cd9143edfc6c776c1a33ed0bcbc8178f17ca2c38cf63ffcfc4cfc1,f6176ba08b6a3f96c67557b0f6971fa29658fecb0b30bf0af516cbf916133b1c
legacy,consultation,candidate-002,bm25-saturation,True,0.5814176888760005,False,1,"{""engine"": ""bm25"", ""k1"": 0.6}",sha256:f88950f8808c3b3cb4b599d5d607e9e0e1f70e0af1e3e98e1821c6cddab1307a,82be1f41-380c-4ece-b680-b3cfed9f493c,e4235fd2aa1cc9a3b4caa0eacd9e9e1f6acb3d098ff4fcf5c2a3277b3515ab63,04fcafafb7462cb065e678933c38dd042cd053a720ee8b58acdabb68c07fcb44
legacy,consultation,candidate-003,bm25-saturation,True,0.5961724167905328,True,0,"{""engine"": ""bm25"", ""k1"": 2.0}",sha256:94bc21841c665d2470ee0f2a4fd8a9b00e874ee6ba65fbce223f379fa675a67e,ded01420-6d4d-41f1-b2c7-bba240e0f824,5faac10464be2aca545593329bad6001c60d22d5a7070876f57d9701677afcb3,1f0f9a1b1c444abac5a47b6ccd52c3e849153c848f3d7484111da6b996e70102
legacy,consultation,candidate-004,bm25-saturation,True,0.5952238585899123,False,1,"{""engine"": ""bm25"", ""k1"": 3.0}",sha256:32e9f5c2e85a97c380a4b5b2da053c5756db59bf1797109f12e7fad7538ea726,3c0ad343-a644-4fd6-9885-f3d0d2ed8e8f,5f4e6acf915d0496c0031ac8aa12a06303e3fe95a106df49f544dc1e3dad4729,9a64b034ac12f7b1d6b1991db90c1cb14f54fc373611bcfd19d1ae5969241bc3
legacy,consultation,candidate-005,length-normalization,True,0.5777585149949644,False,1,"{""b"": 0.25, ""engine"": ""bm25""}",sha256:970893882100d10384b70b066683802006bbef4287314fb987af06498d266b7d,2fb08505-0617-48dc-839c-d8f720b5a125,b28348a8e00aaa80adf2d13762577f2938dbcf081721a4a19f147e78a4b61f35,bacb8ab04c2dc9e0e7b0c50babab6b97a53460cfcaaed94291c11327c8d04fe9
legacy,consultation,candidate-006,length-normalization,True,0.5651710648556278,False,2,"{""b"": 0.0, ""engine"": ""bm25""}",sha256:3ff86aa147acad726a0b23ac5840afe07dc7d8c055fb7809baf41c0248c6e42c,ece5284b-ddd8-4125-9a2a-ddce9a2ed474,2e18eb631ded5ab4b898e6116cfc93520f4eef7fe69d1fc3f34c44e23c1efadb,cf63d538390cf58793572d88f46ac460f5e8fda7de26e6480072814183858df3
legacy,consultation,candidate-007,length-normalization,True,0.584827182844353,False,3,"{""b"": 0.5, ""engine"": ""bm25""}",sha256:f2d54bb0a85c36584744996122b4829ca7cf3292e8fdb3d3cf2ee65cd67047ce,3a22e695-56cc-4176-b2c9-03de0243e274,94dd5bd8a2b92f02a6b59f5a908eacb86053a1bcc1812ac16384799912d17e34,c4d8da64b2cc037e7f4f92d59b1b98fc184285abc5f43699056ca6ca4dc27893
legacy,consultation,candidate-008,title-weight,True,0.5897017567394892,False,1,"{""engine"": ""bm25"", ""title_weight"": 2.0}",sha256:55257ad5a2346576a152a02f0f444786d33335db4cc86e2418ca0b0a6e01c78f,d939b99e-2a3c-4c8f-adce-426683f9aab9,32578d05ec7e595aca3566b47c8696e9a81bb0bb0a841b68f095ecb43511c1e1,cc7cad5ef5e0fd88a03a94cea0f6a080f41017bcbec97c316f11a2e6ecbd3a55
legacy,consultation,candidate-009,title-weight,True,0.5877438972143467,False,2,"{""engine"": ""bm25"", ""title_weight"": 4.0}",sha256:aa44e9059f06df54f584fa5c21603e4fd6c2b7d84b2c1a694288773a3487d6db,d43cfc79-f1d8-4422-896c-bfdae06ad311,7c0d1b1cd8b9946a02cc252c37d5b2edb73347fb0be63e44c551b5e28c52a56e,7e146b8b54043157f9d2655f6a3dc7a725d2a0a83497c779d30673700bf8457e
legacy,consultation,candidate-010,title-weight,True,0.5808281321115133,False,3,"{""engine"": ""bm25"", ""title_weight"": 8.0}",sha256:e33db796e2b9a5ed6e5ec62432189655e9d3eff24854c5218962ca2bac75835e,94a5fa64-fece-44d2-98b8-3e2495f8a360,11f09fd34b3e3892840139532ff0c8a842383c04a4f1c1b373e1e477677b4d82,68f930363c29db257fc2b96cf9e9b2591e28e1282aa2bcac65e5935f33e655b7
embeddings,construction,baseline,baseline,True,0.6319043854152289,False,0,{},sha256:0fb227d81f64ba9e930a0b720bc9b4133681ff236b45d622d390f8bb2c948746,401d249d-4ece-4085-a709-3c7d24c5f006,565dd71c5aeefd395a8a52b3e235d5e953febd015eedcdcc9d62b35ba39fca5a,e878de25c509fb45829831645e8089fcdd7947d8f2759607e98234c670976ffb
embeddings,construction,candidate-001,semantic-segmentation,True,0.6319043854152289,False,1,"{""chunking.breakpoint_percentile_threshold"": 95, ""chunking.strategy"": ""semantic""}",sha256:db646c056626722c1a14164d0b7c50711d8f1606fcd4c41d54c53fd103e670b6,f8cc9b38-0f01-48c3-9fa1-b6a04981d251,900a68a9feb8715df2bc99d1556b9f49f7b0e1726f65f3628cb77d1891520630,ef5d43f0f3a10b664326c1cafe21d07d03a036d6f3742186ea7adb1ef2198cd9
embeddings,construction,candidate-002,semantic-segmentation,True,0.6319043854152289,False,2,"{""chunking.breakpoint_percentile_threshold"": 90, ""chunking.strategy"": ""semantic""}",sha256:ce8eb93f2d8a00dde8350b603bcb9dfaee2b7a0c3d00e4ef2ce7ef7336d95de3,e59c4677-7e30-4378-8ace-7cec43a44c98,53ba66a92322b7ecb6baac9adc14ae8eabcc0653895daee9e16ff562e2bd0c31,e8e0d7703a26fb6d5aa8e873e069ab312335fd6c299b18f4c420921c79917308
embeddings,construction,candidate-003,semantic-segmentation,True,0.6319043854152289,False,3,"{""chunking.breakpoint_percentile_threshold"": 80, ""chunking.strategy"": ""semantic""}",sha256:6087484d44c5534c4d0840376a3c51d89b0c0dfe3c1d1d13ddddf2fa58a0795c,df7a2ded-1d91-4b69-8306-c31cf54baa4f,45acfac50c0213628c8e012cfd5c2d5cf151cff87ca61a37b64c3f9ba90475a9,54a6bee6746d2359944f3d6909751e045aa5dafa352aa5fea3a0c617683e6334
embeddings,construction,candidate-004,semantic-context,True,0.6319043854152289,False,1,"{""chunking.buffer_size"": 2, ""chunking.strategy"": ""semantic""}",sha256:550ee813870dc03140d8f6679e3d39400979f89053349667993e7ec99f3466ac,cf242d05-51c4-45e5-a47c-4490ce984da3,874b648831030c68e321f1ab208b13aa73c894a6aedb1ab7c7813f6bd92cfe59,37c203b29b6dc66dace0597a9accd95e705e5cfacca21b5a1e0f8fa0c037f421
embeddings,construction,candidate-005,semantic-context,True,0.6319043854152289,False,2,"{""chunking.buffer_size"": 3, ""chunking.strategy"": ""semantic""}",sha256:34cdbc60b5bbe0848f3ee24c03b856c3be909fe3e3f02f643314931a262ab11c,ae97aaa1-fb7c-400e-8e55-55f67aba913a,c35d8e0356d8dc4c1694879e4c75b5faa3a8f29b426ad48e7fdc0f36c71b1a5f,6f3247d904048ed392ca5e8728db34fa012e6e41c99b4146a9d10940987e01c8
